"id","value","name","color","nameEn"
1,"sec_01","Archiv","#be708b","Archives"
2,"sec_05","Mediathek","#78d2bb","Media"
3,"sec_02","Bibliothek","#91b2da","Library"
4,"sec_04","Forschung","#41a069","Research"
5,"sec_06","Museum","#c06d45","Museum"
6,"sec_03","Denkmalpflege","#e3a747","Monument Protection"
7,"sec_07","Sonstige","#a9c54a","Other"
